CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
1100299948-101000416001,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 05:23:35,2011-10-14 05:23:35,2011-10-11 08:43:03,-2.86,Flooding,,,Unknown,Unknown,Unknown
1100299951-101000415980,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 05:58:52,2011-10-14 05:58:52,2011-10-11 08:43:03,-2.89,Flooding,,,Unknown,Unknown,Unknown
1100299960-101000416023,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 06:19:01,2011-10-14 06:19:01,2011-10-11 08:43:03,-2.9,Flooding,,,Unknown,Unknown,Unknown
1100299989-101000416062,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 07:09:27,2011-10-14 07:09:27,2011-10-11 08:43:03,-2.94,Flooding,,,Unknown,Unknown,Unknown
1100300000-101000416034,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 07:19:33,2011-10-14 07:19:33,2011-10-11 08:43:03,-2.94,Flooding,,,Unknown,Unknown,Unknown
1100300045-101000416070,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 07:44:46,2011-10-14 07:44:46,2011-10-11 08:43:03,-2.96,Flooding,,,Unknown,Unknown,Unknown
1100300052-101000416124,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 07:49:48,2011-10-14 07:49:48,2011-10-11 08:43:03,-2.96,Flooding,,,Unknown,Unknown,Unknown
1100300115-101000416145,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 08:15:01,2011-10-14 08:15:01,2011-10-11 08:43:03,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100300114-101000416143,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 08:15:01,2011-10-14 08:15:01,2011-10-11 08:43:03,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100300138-101000416167,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 08:25:06,2011-10-14 08:25:06,2011-10-11 08:43:03,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300162-101000416186,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 08:35:12,2011-10-14 08:35:12,2011-10-11 08:43:03,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300171-101000416193,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 08:40:14,2011-10-14 08:40:14,2011-10-11 08:43:03,-3.0,Flooding,,,Unknown,Unknown,Unknown
1100300219-101000416225,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:00:24,2011-10-14 09:00:24,2011-10-12 07:35:00,-2.06,Flooding,,,Unknown,Unknown,Unknown
1100300243-101000416250,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:10:29,2011-10-14 09:10:29,2011-10-12 07:35:29,-2.07,Flooding,,,Unknown,Unknown,Unknown
1100300271-101000416293,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:20:35,2011-10-14 09:20:35,2011-10-11 09:25:28,-3.0,Flooding,,,Unknown,Unknown,Unknown
1100300345-101000416333,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:45:47,2011-10-14 09:45:47,2011-10-12 07:35:44,-2.09,Flooding,,,Unknown,Unknown,Unknown
1100300347-101000416332,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:45:48,2011-10-14 09:45:48,2011-10-11 10:19:33,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100300348-101000416331,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:45:48,2011-10-14 09:45:48,2011-10-11 10:34:33,-2.97,Flooding,,,Unknown,Unknown,Unknown
1100300361-101000416365,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 09:50:50,2011-10-14 09:50:50,2011-10-11 10:19:33,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100300396-101000416400,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 10:05:58,2011-10-14 10:05:58,2011-10-11 10:19:33,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300397-101000416399,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 10:05:58,2011-10-14 10:05:58,2011-10-11 10:19:33,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300461-101000416449,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 10:26:12,2011-10-14 10:26:12,2011-10-11 10:35:54,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300474-101000416438,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 10:36:17,2011-10-14 10:36:17,2011-10-11 10:37:17,-3.0,Flooding,,,Unknown,Unknown,Unknown
1100300865-101000416768,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 13:12:35,2011-10-14 13:12:35,2011-10-11 13:23:53,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100300969-101000416843,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 13:57:58,2011-10-14 13:57:58,2011-10-12 10:58:43,-2.12,Flooding,,,Unknown,Unknown,Unknown
1100301392-101000417182,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 17:39:48,2011-10-14 17:39:48,2011-10-13 10:17:08,-1.31,Flooding,,,Unknown,Unknown,Unknown
1100301454-101000417235,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 18:55:25,2011-10-14 18:55:25,2011-10-12 07:36:07,-2.47,Flooding,,,Unknown,Unknown,Unknown
1100301487-101000417313,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 20:00:56,2011-10-14 20:00:56,2011-10-12 07:36:07,-2.52,Flooding,,,Unknown,Unknown,Unknown
1100301488-101000417312,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 20:00:57,2011-10-14 20:00:57,2011-10-12 07:36:07,-2.52,Flooding,,,Unknown,Unknown,Unknown
1100301492-101000417282,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 20:26:10,2011-10-14 20:26:10,2011-10-12 07:36:07,-2.53,Flooding,,,Unknown,Unknown,Unknown
1100301523-101000417356,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 21:31:43,2011-10-14 21:31:43,2011-10-12 07:36:07,-2.58,Flooding,,,Unknown,Unknown,Unknown
1100301550-101000417322,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-11 23:37:46,2011-10-14 23:37:46,2011-10-12 07:36:07,-2.67,Flooding,,,Unknown,Unknown,Unknown
1100301590-101000417376,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 06:26:10,2011-10-15 06:26:10,2011-10-12 07:36:07,-2.95,Flooding,,,Unknown,Unknown,Unknown
1100301605-101000417402,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 07:06:30,2011-10-15 07:06:30,2011-10-12 07:36:07,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100301743-101000417506,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 08:37:14,2011-10-15 08:37:14,2011-10-12 08:47:35,-2.99,Flooding,,,Unknown,Unknown,Unknown
1100301948-101000417699,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 10:13:04,2011-10-15 10:13:04,2011-10-12 10:51:21,-2.97,Flooding,,,Unknown,Unknown,Unknown
1100302229-101000417924,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 12:44:25,2011-10-15 12:44:25,2011-10-12 12:46:55,-3.0,Flooding,,,Unknown,Unknown,Unknown
1100302281-101000417942,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 13:09:38,2011-10-15 13:09:38,2011-10-12 14:25:28,-2.95,Flooding,,,Unknown,Unknown,Unknown
1100302770-101000418342,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 17:57:05,2011-10-15 17:57:05,2011-10-13 07:25:09,-2.44,Flooding,,,Unknown,Unknown,Unknown
1100302886-101000418407,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 21:33:55,2011-10-15 21:33:55,2011-10-13 07:25:09,-2.59,Flooding,,,Unknown,Unknown,Unknown
1100302900-101000418481,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 22:24:20,2011-10-15 22:24:20,2011-10-13 07:25:09,-2.62,Flooding,,,Unknown,Unknown,Unknown
1100302901-101000418484,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-12 22:24:21,2011-10-15 22:24:21,2011-10-13 07:25:09,-2.62,Flooding,,,Unknown,Unknown,Unknown
1100303972-101000419323,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-13 16:04:21,2011-10-16 16:04:21,2011-10-13 16:28:55,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100304106-101000419427,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-13 17:18:50,2011-10-16 17:18:50,2011-10-13 17:23:26,-3.0,Flooding,,,Unknown,Unknown,Unknown
1100304467-101000419750,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-14 08:46:39,2011-10-17 08:46:39,2011-10-14 09:09:08,-2.98,Flooding,,,Unknown,Unknown,Unknown
1100305564-101000420579,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-14 22:28:33,2011-10-17 22:28:33,2011-10-18 08:05:44,0.4,Flooding,,,Unknown,Unknown,Unknown
1100305970-101000420961,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-16 22:22:55,2011-10-19 22:22:55,2011-10-17 02:40:14,-2.82,Flooding,,,Unknown,Unknown,Unknown
1100309041-101000423431,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2011-10-18 23:42:46,2011-10-21 23:42:46,2011-10-19 07:47:13,-2.66,Flooding,,,Unknown,Unknown,Unknown
