CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11587514-101000874604,"7411 SANDPIPER, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882420000006,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530M,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:42:56,2013-01-12 10:42:56,2013-01-04 10:44:55,-8.0,Pothole,3078020.78,13817893.51,29.69793431,-95.50462462,Voice In
11587515-101000874606,"7327 SANDPIPER, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882300000001,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530M,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:43:20,2013-01-12 10:43:20,2013-01-04 10:24:55,-8.01,Pothole,3078062.14,13818182.22,29.69872453,-95.50446722,Voice In
11587516-101000874609,"7115 SHARPVIEW, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882440000013,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530M,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:44:03,2013-01-12 10:44:02,2013-01-04 10:44:55,-8.0,Pothole,3076596.72,13818082.25,29.69857009,-95.50909049,Voice In
11587523-101000874625,"7322 GUILDFORD, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882350000013,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:50:41,2013-01-12 10:50:41,2013-01-03 16:05:04,-8.78,Pothole,3074823.72,13818234.67,29.69913445,-95.51465848,Voice In
11587525-101000874629,"7315 GUILDFORD, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882360000004,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:51:33,2013-01-12 10:51:33,2013-01-03 16:05:04,-8.78,Pothole,3075074.44,13818293.96,29.6992769,-95.51386353,Voice In
11587526-101000874630,"7314 GUILDFORD, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882350000011,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:52:11,2013-01-12 10:52:11,2013-01-03 17:25:02,-8.73,Pothole,3074898.98,13818347.07,29.69943726,-95.51441097,Voice In
11587535-101000874649,"7234 ROOS, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882330000024,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:58:09,2013-01-12 10:58:09,2013-01-03 16:05:02,-8.79,Pothole,3075061.0,13818677.02,29.70033097,-95.51386987,Voice In
11587538-101000874654,"7238 ROOS, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882330000025,SW,SW,TUESDAY,2nd Tuesday,Tuesday-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 10:58:44,2013-01-12 10:58:44,2013-01-03 17:25:02,-8.73,Pothole,3074995.07,13818695.83,29.70038808,-95.5140757,Voice In
11587545-101000874658,"7314 CANNOCK, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882380000013,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:00:22,2013-01-12 11:00:22,2013-01-03 16:05:04,-8.79,Pothole,3075534.91,13818160.19,29.69887143,-95.51242626,Voice In
11587546-101000874661,"3850 OLYMPIA, HOUSTON TX 77019",HARRIS,G,AFTON OAKS / RIVER OAKS AREA,0601640820048,,,,,,492N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:01:17,2013-01-12 11:01:14,2013-01-04 15:25:01,-7.82,Pothole,3097712.48,13836614.52,29.74776133,-95.44083255,Voice In
11587554-101000874677,"7419 MARINETTE, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882350000018,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:06:12,2013-01-12 11:06:12,2013-01-03 16:25:01,-8.78,Pothole,3074572.92,13818513.74,29.69992213,-95.51542192,Voice In
11587555-101000874679,"7438 MARINETTE, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882340000020,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:07:00,2013-01-12 11:07:00,2013-01-03 16:05:04,-8.79,Pothole,3074682.33,13818154.63,29.69892605,-95.51511116,Voice In
11587557-101000874682,"7442 MARINETTE, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882340000021,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:07:39,2013-01-12 11:07:39,2013-01-03 16:25:01,-8.78,Pothole,3074735.18,13818105.52,29.69878671,-95.51494935,Voice In
11587559-101000874686,"7402 MARINETTE, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882340000011,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:08:29,2013-01-12 11:08:29,2013-01-03 16:25:01,-8.78,Pothole,3074179.36,13818600.15,29.70019189,-95.51665297,Voice In
11587568-101000874700,"7227 SHARPVIEW, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882450000033,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:14:37,2013-01-12 11:14:37,2013-01-03 16:05:04,-8.8,Pothole,3075368.68,13817667.94,29.69753195,-95.51299588,Voice In
11587569-101000874703,"7218 SHARPVIEW, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882380000018,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:15:46,2013-01-12 11:15:46,2013-01-03 16:25:01,-8.79,Pothole,3075364.52,13817926.95,29.69824428,-95.51298465,Voice In
11587570-101000874705,"7206 SHARPVIEW, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882380000015,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:16:29,2013-01-12 11:16:29,2013-01-03 16:25:01,-8.79,Pothole,3075518.83,13818053.52,29.69857953,-95.51248693,Voice In
11587574-101000874709,Intersection 2600 HAYES RD&11300 WESTHEIMER RD,,F,BRIAR FOREST,,,,,,,489T,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:19:34,2013-01-12 11:19:34,2013-01-03 13:45:06,-8.9,Pothole,3054906.30408,13831308.713539997,,,Voice In
11587580-101000874718,"7327 TORQUAY, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882380000003,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:24:57,2013-01-12 11:24:57,2013-01-03 17:25:01,-8.75,Pothole,3075277.79,13818021.48,29.69851124,-95.51324886,Voice In
11587593-101000874739,Intersection 7600 FONDREN RD&7250 SHARPVIEW DR,,J,SHARPSTOWN,,,,,,,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:33:11,2013-01-12 11:33:11,2013-01-03 17:25:01,-8.76,Pothole,3075058.22867,13817464.60835,,,Voice In
11587592-101000874740,Intersection 1300 W DALLAS ST&900 LAMB ST,Harris County,C,FOURTH WARD,,,,,1st Wednesday,,493K,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:33:14,2013-01-12 11:33:14,2013-01-03 14:25:02,-8.88,Pothole,3116806.38337,13840886.55363,29.75789261,-95.38027193,Voice In
11587598-101000874756,Intersection 7100 BEECHNUT ST&8000 FONDREN RD,,J,SHARPSTOWN,,SW,SW,TUESDAY,2nd Monday,Tuesday-b,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:40:04,2013-01-12 11:40:04,2013-01-03 17:25:02,-8.76,Pothole,3076390.67483,13815689.91833,,,Voice In
11587601-101000874766,Intersection 700 GRENFELL LN&11300 W HARDY RD,Harris County,H,NORTHSIDE/NORTHLINE,,NE,NW,MONDAY,3rd Monday,MONDAY-B,413Y,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:42:55,2013-01-12 11:42:55,2013-01-04 14:25:02,-7.89,Pothole,3120612.43645,13880185.190259997,29.86558593,-95.36443239,Voice In
11587603-101000874772,Intersection 7100 BEECHNUT ST&8000 FONDREN RD,,J,SHARPSTOWN,,SW,SW,TUESDAY,2nd Monday,Tuesday-b,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:47:36,2013-01-12 11:47:36,2013-01-03 07:25:05,-9.18,Pothole,3076390.67483,13815689.91833,,,Voice In
11587609-101000874790,Intersection 6700 BEECHNUT ST&6800 BISSONNET ST,,J,SHARPSTOWN,,,,,,,530R,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 11:56:42,2013-01-12 11:56:42,2013-01-03 15:05:04,-8.87,Pothole,3078656.87633,13814949.22723,,,Voice In
11587614-101000874802,Intersection 7100 LANGDON LN&7836 MARINETTE DR,Harris County,J,SHARPSTOWN,,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 12:02:59,2013-01-12 12:02:59,2013-01-03 16:25:01,-8.82,Pothole,3076322.84294,13816583.70493,29.69447332,-95.51009363,Voice In
11587615-101000874804,"7014 SHARPCREST, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882480000018,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530M,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 12:03:51,2013-01-12 12:03:51,2013-01-04 10:44:54,-8.05,Pothole,3077562.13,13817343.46,29.69646001,-95.50612043,Voice In
11587617-101000874806,"7131 CARVEL, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0882490000006,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 12:04:33,2013-01-12 12:04:33,2013-01-03 17:25:01,-8.78,Pothole,3076172.86,13817405.27,29.69674397,-95.51048864,Voice In
11587652-101000874899,Intersection 6200 LONG DR&5000 S WAYSIDE DR,,I,GOLFCREST / BELLFORT / REVEILLE,,SE,SE,TUESDAY,3rd Monday,,534Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 13:06:35,2013-01-12 13:06:34,2013-01-04 15:45:05,-7.89,Pothole,3136935.36509,13817715.24171,,,Voice In
11587658-101000874909,Intersection 0 W OREM DR&0 SH 288 HWY,Harris County,D,SOUTH ACRES / CRESTMONT PARK,,,,,,,573J,Five Corners Improvement Dist(HCID #10B),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 13:16:29,2013-01-12 13:16:29,2013-01-04 16:05:03,-7.88,Pothole,3116218.00331,13793482.74227,,,Voice In
11587683-101000874993,Intersection 2500 BEATTY ST&6300 STRATTON ST,Harris County,I,GULFGATE RIVERVIEW / PINE VALLEY,,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534G,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 13:58:00,2013-01-12 13:58:00,2013-01-04 15:45:06,-7.93,Pothole,3139579.69773,13824231.24049,29.7101556,-95.31018822,Voice In
11587702-101000875059,Intersection 2 N POST OAK LN&4750 WOODWAY DR,,G,GREATER UPTOWN,,,,,,,491M,Uptown Houston MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 14:31:47,2013-01-12 14:31:47,2013-01-03 14:05:04,-9.02,Pothole,3092263.40063,13842734.840620002,,,Voice In
11587704-101000875063,Intersection 600 S POST OAK LN&5000 WOODWAY DR,Harris County,G,GREATER UPTOWN,,,,,,,491L,Uptown Houston MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 14:33:29,2013-01-12 14:33:29,2013-01-03 16:46:39,-8.91,Pothole,3090404.37711,13841668.904099997,29.76226414,-95.46337129,Voice In
11587715-101000875089,Intersection 9200 KENILWORTH ST&910 SILBER RD,Harris County,G,GREATER UPTOWN,,NW,NW,MONDAY,,MONDAY-A,491C,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 14:49:16,2013-01-12 14:49:16,2013-01-03 16:46:39,-8.92,Pothole,3088728.71347,13848878.52453,29.78222076,-95.46796417,Voice In
11587723-101000875116,"14819 S POST OAK, HOUSTON TX 77053",HARRIS,K,CENTRAL SOUTHWEST,0640690050036,SW,SW,FRIDAY,4th Thursday,FRIDAY-B,571U,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 15:04:45,2013-01-12 15:04:43,2013-01-04 16:05:02,-7.96,Pothole,3091691.06,13786949.68,29.61161316,-95.46452155,Voice In
11587767-101000875235,Intersection 5226 BRINKMAN ST&824 W DONOVAN ST,Harris County,B,ACRES HOME,,NW,NW,TUESDAY,4th Tuesday,TUESDAY-B,452G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 15:55:14,2013-01-12 15:55:13,2013-01-03 16:25:03,-8.98,Pothole,3104358.65039,13871843.11081,29.84403601,-95.41649631,Voice In
11587778-101000875260,"8162 RICHMOND, HOUSTON TX 77063",HARRIS,F,MID WEST,0420510000007,,,,,,490Y,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 16:12:16,2013-01-12 16:12:16,2013-01-03 14:05:04,-9.09,Pothole,3075114.0,13829491.79,29.73005447,-95.51268734,Voice In
11587802-101000875328,Intersection 3700 ANTOINE DR&5700 MILWEE ST,,A,LANGWOOD,,NW,NE,FRIDAY,4th Thursday,,451L,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 16:54:09,2013-01-12 16:54:09,2013-01-03 16:47:05,-9.0,Pothole,3086453.75378,13863374.91253,,,Voice In
11587814-101000875357,Intersection 3700 CUMMINS ST&3800 RICHMOND AVE,Harris County,C,GREENWAY / UPPER KIRBY AREA,,,,,,,492W,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 17:15:52,2013-01-12 17:15:52,2013-01-04 15:25:02,-8.08,Pothole,3098638.71366,13831158.61049,29.73268688,-95.4384385,Voice In
11587822-101000875383,Intersection 1000 JEFFERSON ST&1800 MAIN ST,,I,DOWNTOWN,,,,,,,493Q,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 17:34:33,2013-01-12 17:34:33,2013-01-03 14:25:02,-9.13,Pothole,,,,,WEB
11587841-101000875432,Intersection 12600 N GESSNER RD&8600 MILLS RD,,A,WILLOWBROOK,,,,,,,370J,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 18:57:56,2013-01-12 18:57:56,2013-01-04 15:25:02,-8.15,Pothole,3061915.19787,13910393.202019997,,,Voice In
11587845-101000875444,"7620 KATY FWY, HOUSTON TX 77024",HARRIS,A,SPRING BRANCH EAST,1175820010001,,,,,,491C,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 19:14:12,2013-01-12 19:14:12,2013-01-04 15:05:02,-8.17,Pothole,,,29.78596724,-95.46483834,Voice In
11587847-101000875446,"12800 WOODFOREST, UNINCORPORATED TX 77015",HARRIS,,,0402670010196,,,,,,497A,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 19:26:35,2013-01-12 19:26:35,2013-01-04 15:45:02,-8.15,Pothole,,,29.79248353,-95.19769497,WEB
11587863-101000875490,Intersection 11000 TIMBERLINE RD&1500 WYCLIFFE DR,,A,SPRING BRANCH WEST,,NW,,FRIDAY,4th Wednesday,,449X,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 21:39:39,2013-01-12 21:39:39,2013-01-03 16:46:39,-9.2,Pothole,,,29.79282368,-95.57455455,WEB
11587865-101000875492,Intersection 2400 ELDRIDGE PKWY&13260 WESTHEIMER RD,,,,,,,,,,488T,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 21:59:09,2013-01-12 21:59:09,2013-01-04 14:45:01,-8.3,Pothole,3039813.08853,13830567.90399,,,Voice In
11587868-101000875499,Intersection 2200 BRIARGREEN DR&14200 ELLA LEE LN,Harris County,G,ELDRIDGE / WEST OAKS,,,,,,,488S,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-02 23:46:05,2013-01-12 23:46:05,2013-01-03 16:25:01,-9.31,Pothole,,,29.73963361,-95.63925185,WEB
11587874-101000875523,Intersection 7176 S IH 45&0 MONROE RD,Harris County,,GOLFCREST / BELLFORT / REVEILLE,,,,,,,535Y,HCID #9,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 06:58:02,2013-01-13 06:58:02,2013-01-04 16:05:03,-8.62,Pothole,3155228.63264,13809815.93303,,,Voice In
11587987-101000875776,"7601 AIRPORT, HOUSTON TX 77061",HARRIS,I,GOLFCREST / BELLFORT / REVEILLE,0421950000050,SE,SE,TUESDAY,3rd Wednesday,TUESDAY-A,575B,HCID #9,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 09:36:30,2013-01-13 09:36:30,2013-01-04 16:05:03,-8.73,Pothole,3148523.03,13805549.25,29.65802609,-95.28389838,Voice In
11587990-101000875783,Intersection 11900 ASTORIA BLVD&11850 HIGHLAND MEADOW DR,,D,SOUTH BELT / ELLINGTON,,,,,,,616H,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 09:39:50,2013-01-13 09:39:50,2013-01-04 16:25:01,-8.72,Pothole,3173708.58551,13779806.798819998,29.58504497,-95.20726777,Voice In
11587999-101000875815,"7406 FONDREN, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0940970000003,,,,,,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 09:57:20,2013-01-13 09:57:20,2013-01-08 14:25:02,-4.81,Pothole,3074007.32,13818256.94,29.69926256,-95.51722683,Voice In
11588002-101000875819,Intersection 7500 FONDREN RD&7328 GUILDFORD RD,Harris County,J,SHARPSTOWN,,SW,SW,TUESDAY,,TUESDAY-B,530L,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 09:59:21,2013-01-13 09:59:21,2013-01-04 15:45:05,-8.76,Pothole,3074619.1974,13817887.306979997,29.69819638,-95.51533501,Voice In
11588004-101000875821,Intersection 0 SB SW FWY FONDREN UTURN RAMP&7396 SOUTHWEST FWY,Harris County,J,SHARPSTOWN,,,,,,,530L,Sharpstown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 10:00:20,2013-01-13 10:00:20,2013-01-08 08:25:02,-5.07,Pothole,3073818.82367,13818787.55223,,,Voice In
11588007-101000875827,"5402 N WAYSIDE, HOUSTON TX 77028",HARRIS,B,SETTEGAST,0752470020024,NE,NW,THURSDAY,2nd Monday,THURSDAY-A,455T,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 10:03:30,2013-01-13 10:03:30,2013-01-04 14:45:01,-8.8,Pothole,3146633.88,13860638.61,29.80960846,-95.28421055,Voice In
11588012-101000875833,Intersection 6200 IRON ROCK ST&5400 S WAYSIDE DR,Harris County,I,GOLFCREST / BELLFORT / REVEILLE,,SE,SE,TUESDAY,3rd Monday,TUESDAY-A,534Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 10:06:13,2013-01-13 10:06:13,2013-01-04 15:45:05,-8.76,Pothole,3136869.24055,13815965.94665,29.68767172,-95.3195419,Voice In
11588013-101000875835,Intersection 3000 E IH 610 LOOP N&3300 N IH 610 LOOP E&0 MARKET RAMP,Harris County,I,CLINTON PARK TRI-COMMUNITY,,,,,,,495L,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2013-01-03 10:06:55,2013-01-13 10:06:55,2013-01-08 14:45:02,-4.81,Pothole,3153180.40576,13846265.48612,29.76953271,-95.26514801,Voice In
