CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11980187-101002049545,Intersection 5800 BELLFORT ST&8100 SOUTHBANK TER,,D,SOUTH PARK,,SE,SE,FRIDAY,4th Wednesday,,534X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-28 19:23:53,2016-01-31 19:23:53,2016-02-02 07:45:02,1.51,Flooding-101002049545,3132922.82751,13808112.49681,,,Voice In
11980487-101002050408,"4935 YELLOWSTONE, HOUSTON TX 77021",HARRIS,D,GREATER OST / SOUTH UNION,0771030090198,SE,SE,TUESDAY,3rd Tuesday,TUESDAY-A,534N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-01-29 14:03:57,2016-02-01 14:03:57,2016-02-02 07:45:04,0.74,Flooding-101002050408,3128710.22832,13816188.37468,29.68898666,-95.34520477,Voice In
11981159-101002052115,Intersection 1500 CENTER ST&1100 HOUSTON AVE,,H,WASHINGTON AVENUE COALITION / MEMORIAL P,,NW,,MONDAY,,non active,493L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-01 08:53:35,2016-02-04 08:53:35,2016-02-02 06:30:04,-2.1,Flooding,,,,,Unknown
11981502-101002053070,"9203 BONHOMME, HOUSTON TX 77074",HARRIS,J,BRAEBURN,0740090020017,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-01 14:49:14,2016-02-04 14:49:14,2016-02-19 10:25:15,14.82,Flooding-101002053070,3075718.44356,13811049.60412,29.67931054,-95.51251622,Voice In
11983701-101002059583,"5646 LUDINGTON, HOUSTON TX 77035",HARRIS,K,WESTBURY,0860230000003,SW,SW,THURSDAY,2nd Thursday,THURSDAY-A,571A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-05 18:37:45,2016-02-08 18:37:45,2016-02-10 10:40:10,1.67,Flooding,,,29.65000492,-95.48610847,Unknown
11983701-101002059586,"5646 LUDINGTON, HOUSTON TX 77035",HARRIS,K,WESTBURY,0860230000003,SW,SW,THURSDAY,2nd Thursday,THURSDAY-A,571A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-05 18:44:11,2016-02-08 18:44:11,2016-02-08 15:49:59,-0.12,Flooding,,,29.65000492,-95.48610847,Unknown
11983701-101002059591,"5646 LUDINGTON, HOUSTON TX 77035",HARRIS,K,WESTBURY,0860230000003,SW,SW,THURSDAY,2nd Thursday,THURSDAY-A,571A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-05 18:51:11,2016-02-08 18:51:11,2016-02-08 15:49:59,-0.13,Flooding,,,29.65000492,-95.48610847,Unknown
101002063542,Intersection 600 N 74TH ST&7400 AVE F ST,Harris County,I,MAGNOLIA PARK,,SE,SE,MONDAY,1st Thursday,MONDAY-A,495W,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-10 08:35:59,2016-02-13 08:35:59,2016-02-15 08:00:13,1.98,Flooding,,,29.73634907,-95.2927933,WEB
11985217-101002063826,"9221 KENILWORTH, HOUSTON TX 77024",HARRIS,G,GREATER UPTOWN,0690140030009,NW,NW,MONDAY,4th Wednesday,MONDAY-A,491C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-10 11:12:10,2016-02-13 11:12:10,2016-03-17 16:15:05,33.21,Flooding - 108282,3089132.42012,13848763.84081,29.78187293,-95.46669563,WAP
11989238-101002077304,"1111 RUSK, HOUSTON TX 77002",HARRIS,I,DOWNTOWN,0010790000001,,,,,,493Q,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-22 09:13:20,2016-02-25 09:13:20,2016-02-23 13:20:04,-1.83,Flooding,,,29.75786503,-95.36233184,WEB
11989272-101002077435,Intersection 2600 S SHEPHERD DR&2100 WESTHEIMER RD,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,492U,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-22 10:14:23,2016-02-25 10:14:23,2016-02-22 12:45:03,-2.9,Flooding-101002077435,3107318.40529,13835024.020739997,,,Voice In
11989317-101002077610,"4201 CITADEL, HOUSTON TX 77092",HARRIS,A,LANGWOOD,0801340000008,NW,NW,FRIDAY,4th Thursday,FRIDAY-A,451J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-22 11:35:20,2016-02-25 11:35:20,2016-02-25 13:35:04,0.08,Flooding-101002077610,3080252.79965,13866943.46084,29.83257764,-95.49296482,Voice In
11989469-101002078231,Intersection 7600 BELLERIVE DR&6100 MARINETTE DR,,J,SHARPSTOWN,,,,,,,530C,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-22 16:40:56,2016-02-25 16:40:55,2016-02-23 10:40:04,-2.25,Flooding-101002078231,3073594.44715,13823248.92749,,,Voice In
11989539-101002078538,"4830 VAN FLEET, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751900420008,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,533V,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 01:13:42,2016-02-26 01:13:42,2016-02-23 12:50:04,-2.52,Flooding-101002078538,3126945.50548,13811893.21792,29.67733197,-95.35118224,Voice In
11989540-101002078539,"4937 VAN FLEET, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751900400022,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,533V,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 01:15:43,2016-02-26 01:15:43,2016-02-23 12:55:03,-2.51,Flooding-101002078539,3127663.3984,13811840.157660002,29.67712452,-95.34892774,Voice In
11989541-101002078540,"5002 VAN FLEET, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751900420023,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,533V,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 01:16:48,2016-02-26 01:16:48,2016-02-23 12:55:03,-2.52,Flooding-101002078540,3127730.78671,13811656.97528,29.67661521,-95.34873363,Voice In
11989590-101002078621,Intersection 8200 EASTHAVEN BLVD&1600 LASKEY,,E,EDGEBROOK AREA,,,,,,,575D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 07:39:23,2016-02-26 07:39:23,2016-02-24 09:30:05,-1.92,Flooding-101002078621,3159641.60806,13803272.162,,,Voice In
11989610-101002078695,"8602 TILGHAM, HOUSTON TX 77029",HARRIS,B,PLEASANTVILLE AREA,0823360000409,NE,NE,FRIDAY,1st Tuesday,FRIDAY-B,495L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 08:30:06,2016-02-26 08:30:06,2016-02-23 15:00:05,-2.73,Flooding-101002078695,3150866.80475,13844782.2942,29.76565895,-95.27258596,Voice In
11989646-101002078759,Intersection 2400 HARDY ST&1700 QUITMAN ST,,H,NEAR NORTHSIDE,,NE,NE,FRIDAY,1st Friday,,493D,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 09:04:27,2016-02-26 09:04:27,2016-02-23 14:15:05,-2.78,Flooding-101002078759,3125665.68094,13850431.2724,,,Voice In
11989650-101002078806,"5758 PEACOCK, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0910710000015,SE,SE,FRIDAY,4th Tuesday,FRIDAY-A,574E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 09:19:13,2016-02-26 09:19:13,2016-02-23 15:05:03,-2.76,Flooding-101002078806,3132656.2014,13800985.52287,29.64685858,-95.33428323,Voice In
11989663-101002078849,"6977 MAIN, HOUSTON TX 77030",HARRIS,K,MEDICAL CENTER AREA,1078310010001,,,,,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 09:30:43,2016-02-26 09:30:43,2016-02-23 14:45:05,-2.78,Flooding - 110509,3109353.16016,13821547.182,29.70452876,-95.40589979,WAP
11989695-101002078960,"3520 GILLESPIE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,0090180000011,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 10:09:21,2016-02-26 10:09:21,2016-02-23 14:35:04,-2.82,Flooding-101002078960,3131399.7072,13844734.77428,29.76722025,-95.33392019,Voice In
11989757-101002079181,"2606 QUITMAN, HOUSTON TX 77026",HARRIS,B,GREATER FIFTH WARD,0331830000004,NE,NW,FRIDAY,1st Friday,FRIDAY-B,494A,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 11:32:14,2016-02-26 11:32:13,2016-02-23 14:50:05,-2.86,Flooding - 110535,3128143.10899,13850570.42937,29.78335266,-95.3436375,WAP
11989804-101002079352,"4623 KEYSTONE, HOUSTON TX 77021",HARRIS,D,GREATER OST / SOUTH UNION,0691060110016,SE,SW,TUESDAY,3rd Tuesday,TUESDAY-A,534J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 12:38:07,2016-02-26 12:38:07,2016-02-23 15:30:05,-2.88,Flooding-101002079352,3128646.5526,13818814.31464,29.69621009,-95.3451468,Voice In
11989902-101002079650,Intersection 7700 FUQUA&10600 TELEPHONE RD,,D,GREATER HOBBY AREA,,SE,SE,FRIDAY,4th Monday,,575S,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 14:29:42,2016-02-26 14:29:42,2016-02-25 08:10:05,-1.26,Flooding-101002079650,3148512.89705,13788676.291260002,,,Voice In
11989959-101002079907,"2009 QUITMAN, HOUSTON TX 77026",HARRIS,H,GREATER FIFTH WARD,0422020000008,,,,,,494A,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 15:42:13,2016-02-26 15:42:13,2016-02-25 08:05:04,-1.32,Flooding - 110586,3126604.52598,13850483.06769,29.78366464,-95.34821871,WAP
11989975-101002079988,"1421 CORTLANDT, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0201540000007,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,453W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-23 16:03:49,2016-02-26 16:03:48,2016-02-25 08:25:05,-1.32,Flooding,,,29.7971104,-95.3957485,WEB
11990225-101002081046,"3118 ADELIA, HOUSTON TX 77026",HARRIS,B,GREATER FIFTH WARD,0142370000007,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-24 10:56:11,2016-02-27 10:56:10,2016-02-25 15:00:06,-1.83,Flooding-101002081046,3130014.30905,13851426.424940003,29.78573257,-95.33762444,Voice In
11990232-101002081080,"3524 CLINE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1255600010038,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-24 11:12:15,2016-02-27 11:12:14,2016-02-25 14:20:06,-1.87,Flooding - 110722,3131285.75081,13844475.58173,29.76649041,-95.33437883,WAP
11990282-101002081224,"7108 OLD KATY, HOUSTON TX 77055",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1211850010001,,,,,,491D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-24 12:31:11,2016-02-27 12:31:11,2016-02-25 16:30:05,-1.83,Flooding-101002081224,3094737.85073,13850080.35349,29.78502392,-95.4489142,Voice In
11991766-101002086283,"5230 CORNISH, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1289960010002,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-B,492G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-02-29 12:25:00,2016-03-03 12:25:00,2016-03-02 08:30:04,-1.16,Flooding,,,29.77864682,-95.41513888,WEB
11994128-101002094499,"322 ACME, HOUSTON TX 77022",HARRIS,H,INDEPENDENCE HEIGHTS,0800780000024,NW,NW,TUESDAY,3rd Friday,TUESDAY-A,453E,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-07 13:47:31,2016-03-10 13:47:30,2016-03-09 09:35:04,-1.18,Flooding-101002094499,3110731.49952,13870462.25268,29.83970213,-95.39653758,Voice In
11994221-101002094832,"3034 ROE, HOUSTON TX 77087",HARRIS,I,GULFGATE RIVERVIEW / PINE VALLEY,0731270020015,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-07 15:42:33,2016-03-10 15:42:33,2016-03-09 11:50:04,-1.16,Flooding-101002094832,3141493.25525,13820492.22861,29.69971214,-95.30453516,Voice In
11994374-101002095430,Intersection 6400 JENSEN DR&2900 KING ST,Harris County,H,EASTEX - JENSEN AREA,,NE,NE,MONDAY,2nd Friday,MONDAY-B,454N,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-08 08:21:45,2016-03-11 08:21:45,2016-03-08 10:35:03,-2.91,Flooding-101002095430,3128107.59961,13863083.617180003,29.81793791,-95.34248344,Voice In
11994550-101002096107,"4435 OLD SPANISH TRAIL, HOUSTON TX 77021",HARRIS,D,MACGREGOR,0410070160019,SE,SW,TUESDAY,3rd Thursday,TUESDAY-A,534E,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-08 13:02:38,2016-03-11 13:02:37,2016-03-09 11:00:06,-2.09,Flooding-101002096107,3128428.11865,13822348.25311,29.70594262,-95.34548672,Voice In
11994701-101002096881,"4902 HEATHERGLEN, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0911630000015,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 06:22:09,2016-03-12 06:22:08,2016-03-09 11:15:04,-2.8,Flooding - 112879,3092635.79918,13810688.399340002,29.67723071,-95.46014151,WAP
11994706-101002096914,Intersection 2062 BRENTWOOD DR&1400 S SHEPHERD DR,Harris County,C,NEARTOWN - MONTROSE,,,,,,,492Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 07:11:54,2016-03-12 07:11:54,2016-03-09 15:05:05,-2.67,Flooding-101002096914,3107190.09879,13839255.45552,29.75422412,-95.41072332,Voice In
11994711-101002096934,"10502 BRIAR FOREST, HOUSTON TX 77042",HARRIS,G,BRIAR FOREST,0401610000004,,,,,,489Q,Westchase MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 07:31:39,2016-03-12 07:31:39,2016-03-09 08:00:04,-2.98,Flooding,,,29.74868913,-95.56084731,Unknown
11994771-101002097195,"811 MARLEEN, HOUSTON TX 77034",HARRIS,E,EDGEBROOK AREA,0810710000018,SE,SW,THURSDAY,2nd Monday,THURSDAY-B,576B,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 10:04:00,2016-03-12 10:04:00,2016-03-09 10:50:04,-2.97,Flooding-101002097195,3164498.33063,13803875.65751,29.65202078,-95.23379355,Voice In
11994777-101002097227,"8526 GULF, HOUSTON TX 77017",HARRIS,I,GOLFCREST / BELLFORT / REVEILLE,0342050000039,,,,,,535Y,HCID #9,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 10:22:08,2016-03-12 10:22:08,2016-03-09 16:15:05,-2.75,Flooding - 112923,3155056.53283,13809648.82831,29.66836756,-95.26278792,WAP
11994786-101002097256,Intersection 4300 GRIGGS RD&5800 SIDNEY ST,,D,GREATER OST / SOUTH UNION,,,,,,,533M,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-09 10:38:36,2016-03-12 10:38:36,2016-03-09 12:05:04,-2.94,Flooding-101002097256,3126522.66019,13821106.16636,,,Voice In
