CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11454895-101000508820,Intersection 6400 JASON ST & 8800 MCAVOY DR,Harris County,C,BRAEBURN,,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,530R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 13:43:12,2012-01-13 13:43:12,2012-01-13 08:30:08,-0.22,Pothole,3078474.66639,13812695.62183,29.6836089,-95.50368497,Voice In
11454908-101000508844,Intersection 2400 CLEAR LAKE CITY BLVD & 14100 SPACE CENTER BLVD,,E,CLEAR LAKE,,,,,,,618A,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 14:02:17,2012-01-13 14:02:17,2012-01-11 10:56:14,-2.13,Pothole,3195607.60732,13783086.3044,,,Voice In
11454959-101000508959,Intersection 2900 TAFT TER & 400 WESTHEIMER RD,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,493S,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 15:02:27,2012-01-13 15:02:26,2012-01-17 10:52:21,3.83,Pothole,3115155.91127,13835989.223859997,,,Voice In
11454967-101000508981,Intersection 8100 CONSTELLATION LN & 9650 RANDOLPH ST,Harris County,D,GREATER HOBBY AREA,,SE,SE,FRIDAY,4th Monday,FRIDAY-B,575P,HCID #9,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 15:14:50,2012-01-13 15:14:50,2012-01-11 10:32:17,-2.2,Pothole,3151470.85997,13794451.5822,29.6272641,-95.27573397,Voice In
11455022-101000509145,Intersection 8100 APPLETON ST & 600 BERRY RD & 8500 MCGALLION RD,,H,NORTHSIDE/NORTHLINE,,NE,NE,MONDAY,3rd Monday,Monday-a,453G,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 16:34:11,2012-01-13 16:34:11,2012-01-10 10:58:35,-3.23,Pothole,3119739.13734,13869970.190019997,,,Voice In
11455115-101000509389,Intersection 1600 BISSONNET ST & 5218 MANDELL ST,,C,UNIVERSITY PLACE,,,,,,Tuesday-b,492Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 21:03:07,2012-01-13 21:03:07,2012-01-17 10:28:27,3.56,Pothole,,,,,WEB
11455116-101000509390,Intersection 1600 BISSONNET ST & 5218 MANDELL ST,,C,UNIVERSITY PLACE,,,,,,Tuesday-b,492Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 21:03:59,2012-01-13 21:03:59,2012-01-17 10:29:27,3.56,Pothole,,,,,WEB
11455117-101000509392,Intersection 1600 BISSONNET ST & 5218 MANDELL ST,,C,UNIVERSITY PLACE,,,,,,Tuesday-b,492Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-03 21:10:26,2012-01-13 21:10:26,2012-01-06 15:20:33,-7.24,Pothole,,,,,WEB
11455137-101000509439,"1500 W ALABAMA, HOUSTON TX 77006",HARRIS,C,NEARTOWN - MONTROSE,0522220000011,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492V,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 07:13:00,2012-01-14 07:13:00,2012-01-17 10:10:42,3.12,Pothole,3111517.17,13833798.19,29.73885783,-95.39762222,Voice In
11455142-101000509470,Intersection 6000 MORNINGSIDE DR & 2400 SWIFT BLVD,Harris County,C,UNIVERSITY PLACE,,SW,SE,TUESDAY,3rd Monday,TUESDAY-B,532G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 07:52:49,2012-01-14 07:52:49,2012-01-18 09:00:01,4.05,Pothole,,,29.71260068,-95.41486349,WEB
11455192-101000509618,"6837 AVENUE E, HOUSTON TX 77011",HARRIS,I,MAGNOLIA PARK,0390250000005,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494V,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 08:55:21,2012-01-14 08:55:20,2012-01-25 11:30:43,11.11,Pothole,3141321.59,13834885.73,29.73939331,-95.30357818,Voice In
11455210-101000509700,"6960 BELLAIRE, HOUSTON TX 77074",HARRIS,J,SHARPSTOWN,0930270000005,,,,,,530H,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 09:26:22,2012-01-14 09:26:22,2012-01-12 16:56:38,-1.69,Pothole,3077415.45,13820528.31,29.70522664,-95.5062826,Voice In
11455249-101000509804,Intersection 1300 GESSNER RD & 10100 WESTVIEW DR,,A,SPRING BRANCH WEST,,,,,,,450W,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 10:14:43,2012-01-14 10:14:43,2012-01-10 10:49:48,-3.98,Pothole,3064336.72945,13851288.133219998,,,Voice In
11455263-101000509836,Intersection 10100 BEEKMAN PLACE DR & 1330 GESSNER RD,Harris County,A,SPRING BRANCH WEST,,,,,,,450W,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 10:27:02,2012-01-14 10:27:02,2012-01-17 08:02:18,2.9,Pothole,3064307.47983,13851949.25887,29.7926674,-95.54463207,Voice In
11455267-101000509845,Intersection 1900 JENSEN DR & 2800 LORRAINE ST,,B,GREATER FIFTH WARD,,NE,NE,FRIDAY,1st Friday,,494E,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 10:28:35,2012-01-14 10:28:35,2012-01-13 07:23:16,-1.13,Pothole,3128760.71116,13848785.568019997,,,Voice In
11455350-101000509948,Intersection 2500 GRANT ST & 1000 HYDE PARK BLVD,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 11:22:42,2012-01-14 11:22:42,2012-01-17 15:19:03,3.16,Pothole,3113527.19898,13836964.52047,,,Voice In
11455354-101000509951,Intersection 2400 W DALLAS ST & 1000 MONTROSE BLVD,,C,NEARTOWN - MONTROSE,,,,,,,493N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 11:25:01,2012-01-14 11:25:00,2012-01-17 08:20:05,2.87,Pothole,3113005.27122,13840612.92623,,,Voice In
11455357-101000509954,"6011 34TH, HOUSTON TX 77092",HARRIS,A,SPRING BRANCH EAST,0590030340008,,,,,,451P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 11:27:18,2012-01-14 11:27:18,2012-01-10 10:53:01,-4.02,Pothole,3085097.06,13862028.25,,,Voice In
11455412-101000510051,Intersection 1050 N ELDRIDGE PKWY & 13000 OLD KATY RD,,A,SPRING BRANCH WEST,,,,,,,488C,HCID #4 (Energy Corridor),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 12:13:51,2012-01-14 12:13:51,2012-01-11 07:16:04,-3.21,Pothole,3041194.75145,13849121.68513,,,Voice In
11455445-101000510139,Intersection 13000 DONEGAL WAY & 3900 SWINGLE RD,,D,SOUTH ACRES / CRESTMONT PARK,,SE,SE,FRIDAY,4th Friday,,573Q,Five Corners HCID #10B,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 12:54:30,2012-01-14 12:54:30,2012-01-11 10:29:56,-3.1,Pothole,3124761.63156,13791353.10283,,,Voice In
11455485-101000510249,"6804 EASTHAVEN, HOUSTON TX 77017",HARRIS,E,MEADOWBROOK / ALLENDALE,0342050000032,,,,,,535Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 13:50:32,2012-01-14 13:46:39,2012-01-06 16:05:30,-7.9,Pothole,3156493.17,13809969.64,29.66947759,-95.25837086,e-mail In
11455503-101000510295,"6902 HARWIN, HOUSTON TX 77036",HARRIS,J,SHARPSTOWN,0930590000002,,,,,,530D,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 14:18:02,2012-01-14 14:18:01,2012-01-12 15:20:03,-1.96,Pothole,3077763.3,13825523.41,,,Voice In
11455537-101000510391,Intersection 2600 HAYES RD & 11300 WESTHEIMER RD,,F,BRIAR FOREST,,,,,,,489T,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 15:10:21,2012-01-14 15:10:21,2012-01-10 12:00:27,-4.13,Pothole,3054906.30408,13831308.713539997,,,Voice In
11455548-101000510417,Intersection 10800 EPSOM RD & 4000 LITTLECREST RD,Harris County,,,,,,,,,414T,Aldine PID,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 15:21:32,2012-01-14 15:21:32,2012-01-12 14:02:00,-2.06,Pothole,,,29.87099022,-95.32769136,WEB
11455570-101000510475,Intersection 0 HILLCROFT TC & 0 WESTPARK - US 59 IB RAMP,,J,SHARPSTOWN,,,,,,,531A,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 15:50:42,2012-01-14 15:50:42,2012-01-26 09:00:44,11.72,Pothole,3080793.29988,13826989.58176,,,Voice In
11455571-101000510478,Intersection 0 IH 10 EAST FWY SAN JACINTO RAMP & 908 MCKEE ST & 1600 NANCE ST,,H,DOWNTOWN,,NE,NE,FRIDAY,1st Friday,,493M,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 15:53:35,2012-01-14 15:53:35,2012-01-17 10:40:40,2.78,Pothole,,,,,WEB
11455586-101000510514,Intersection 8400 ALMEDA RD & 2500 HOLLY HALL ST,,D,ASTRODOME AREA,,,,,,,533N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 16:09:43,2012-01-14 16:09:43,2012-01-11 10:05:28,-3.25,Pothole,3114058.44267,13814415.903820002,,,Voice In
11455596-101000510538,Intersection 10900 MEADOWGLEN LN & 2900 WALNUT BEND LN,,F,WESTCHASE,,,,,,,489Y,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 16:20:42,2012-01-14 16:20:42,2012-01-11 07:54:13,-3.35,Pothole,3057707.7391,13829861.5514,,,Voice In
11455615-101000510586,Intersection 5720 BROCK ST & 2816 FAY ST,Harris County,I,GULFGATE RIVERVIEW / PINE VALLEY,,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 16:44:30,2012-01-14 16:44:30,2012-01-11 10:11:10,-3.27,Pothole,3135330.20459,13823290.333580002,29.70793732,-95.32366175,Voice In
11455628-101000510652,Intersection 10500 W BELLFORT ST & 11500 ROARK RD,,K,BRAYS OAKS,,,,,,,569C,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 17:32:14,2012-01-14 17:32:14,2012-01-17 11:15:14,2.74,Pothole,3059810.46422,13801095.24805,,,Voice In
11455630-101000510657,Intersection 10900 W BELLFORT ST & 11500 WILCREST DR,,F,ALIEF,,,,,,,569B,International MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-04 17:33:39,2012-01-14 17:33:38,2012-01-17 11:14:26,2.74,Pothole,3057466.10047,13801843.10777,,,Voice In
11455690-101000510804,"6301 ALMEDA, HOUSTON TX 77021",HARRIS,D,MACGREGOR,1202420010004,,,,,,533F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 05:43:17,2012-01-15 05:43:17,2012-01-11 10:01:39,-3.82,Pothole,,,29.7104614,-95.38169756,WEB
11455709-101000510904,"11514 HIGH STAR, HOUSTON TX 77072",HARRIS,F,ALIEF,1014250000173,SW,SW,MONDAY,1st Thursday,MONDAY-A,529B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 08:02:21,2012-01-15 08:02:21,2012-01-12 14:07:45,-2.75,Pothole,3053511.71,13822213.93,29.71180254,-95.58139447,Voice In
11455715-101000510920,Intersection 8980 CLINTON DR & 800 TEAL ST,Harris County,H,CLINTON PARK TRI-COMMUNITY,,,,,,,495U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 08:15:46,2012-01-15 08:15:46,2012-01-13 08:07:31,-2.01,Pothole,3152820.90615,13835338.58113,29.73953046,-95.26737969,Voice In
11455742-101000510984,Intersection 7700 DYER ST & 2100 S VICTORY DR,Harris County,B,ACRES HOME,,NW,NW,TUESDAY,4th Tuesday,TUESDAY-B,412S,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 08:47:01,2012-01-15 08:47:01,2012-01-10 10:41:35,-4.92,Pothole,3095892.68077,13881337.880540002,29.87084445,-95.44227797,Voice In
11455783-101000511064,"11910 RICHMOND, HOUSTON TX 77082",HARRIS,F,WESTCHASE,1244430010001,,,,,,489W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 09:30:37,2012-01-15 09:30:37,2012-01-11 07:50:49,-4.07,Pothole,3051766.62,13829407.83,29.73171773,-95.58622827,Voice In
11455840-101000511193,"3300 WALNUT BEND, HOUSTON TX 77042",HARRIS,F,WESTCHASE,1146170000004,,,,,,489Y,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 10:27:23,2012-01-15 10:27:23,2012-01-11 08:06:34,-4.1,Pothole,3057468.91,13827007.34,29.72536222,-95.56826849,Voice In
11455872-101000511243,Intersection 5100 HUCKLEBERRY CIR & 1660 SAGE RD,Harris County,G,GREATER UPTOWN,,,,,,,491Q,Uptown Houston MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 10:50:13,2012-01-15 10:50:12,2012-01-11 08:09:04,-4.11,Pothole,3089304.67689,13837430.654380003,29.75070562,-95.46723928,Voice In
11455916-101000511351,Intersection 11050 CHATTERTON DR & 1800 UPLAND DR,Harris County,A,SPRING BRANCH WEST,,NW,NW,FRIDAY,4th Wednesday,FRIDAY-A,449T,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 11:45:00,2012-01-15 11:45:00,2012-01-12 13:53:58,-2.91,Pothole,3054092.2519,13853982.275139997,29.79908175,-95.57663728,Voice In
11455942-101000511388,Intersection 1200 FINNIGAN DR & 5200 MARGARITA ST,Harris County,B,GREATER FIFTH WARD,,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 12:08:22,2012-01-15 12:08:22,2012-01-17 11:13:41,1.96,Pothole,3135991.0425,13846016.15525,29.77034579,-95.3193283,Voice In
11455945-101000511396,Intersection 4700 PROVIDENCE ST & 1000 SCHWEIKHARDT ST,Harris County,B,GREATER FIFTH WARD,,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 12:09:51,2012-01-15 12:09:51,2012-01-06 15:00:34,-8.88,Pothole,3134732.98859,13846133.37352,29.77077679,-95.32328025,Voice In
11455947-101000511401,"6606 N GESSNER, HOUSTON TX 77040",HARRIS,A,FAIRBANKS / NORTHWEST CROSSING,0382840000021,,,,,,410W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 12:11:53,2012-01-15 12:11:53,2012-01-11 07:14:04,-4.21,Pothole,,,29.86249142,-95.54231253,WEB
11456015-101000511555,Intersection 5500 ANDERSON OAKS ST & 15120 S POST OAK RD,,K,CENTRAL SOUTHWEST,,,,,,,571U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 13:32:08,2012-01-15 13:32:08,2012-01-11 10:17:00,-4.14,Pothole,3091628.76869,13785318.285180002,,,Voice In
11456018-101000511559,Intersection 5500 ANDERSON OAKS ST & 15120 S POST OAK RD,,K,CENTRAL SOUTHWEST,,,,,,,571U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 13:34:28,2012-01-15 13:34:27,2012-01-06 15:00:34,-8.94,Pothole,3091628.76869,13785318.285180002,,,Voice In
11456030-101000511578,Intersection 8600 BIRDWOOD RD & 9120 S GESSNER RD,Harris County,J,BRAEBURN,,SW,,TUESDAY,2nd Monday,,530P,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 13:46:23,2012-01-15 13:46:23,2012-01-06 15:00:33,-8.95,Pothole,3070602.66967,13811973.96841,29.68226999,-95.52853385,Voice In
11456050-101000511616,Intersection 1300 ERNESTINE ST & 1300 S LOCKWOOD DR & 4600 POLK ST,,I,GREATER EASTWOOD,,SE,SE,MONDAY,1st Wednesday,Monday-a,494T,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 14:11:54,2012-01-15 14:11:54,2012-01-25 11:28:48,9.89,Pothole,,,,,WEB
11456053-101000511623,Intersection 3400 HOLMAN ST & 3420 SAMPSON ST,Harris County,D,GREATER THIRD WARD,,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,493Z,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 14:15:36,2012-01-15 14:15:35,2012-01-11 09:24:39,-4.2,Pothole,,,29.72600739,-95.35452275,Unknown
11456111-101000511740,"5823 WILLOWBEND, HOUSTON TX 77096",HARRIS,K,WESTBURY,0914600000013,SW,SE,THURSDAY,2nd Thursday,THURSDAY-A,531W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 15:14:47,2012-01-15 15:14:47,2012-01-12 17:09:35,-2.92,Pothole,3082553.36,13806435.78,29.66606576,-95.49143654,Voice In
11456116-101000511751,Intersection 3600 EASTSIDE ST & 3100 RICHMOND AVE,,C,GREENWAY / UPPER KIRBY AREA,,,,,,,492X,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 15:18:38,2012-01-15 15:18:38,2012-01-17 10:17:11,1.79,Pothole,3103059.88363,13831784.89008,,,Voice In
11456143-101000511803,Intersection 2300 W 11TH ST & 1100 SHELTERWOOD DR,,C,LAZYBROOK / TIMBERGROVE,,NW,NE,THURSDAY,3rd Wednesday,Thursday-b,492C,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 15:42:48,2012-01-15 15:42:48,2012-01-11 08:36:44,-4.3,Pothole,3103285.29164,13851963.54559,,,Voice In
11456197-101000511910,Intersection 12734 MEMORIAL DR & 12700 OLD OAKS DR,,G,MEMORIAL,,NW,NE,MONDAY,4th Wednesday,Monday-b,489H,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 16:25:26,2012-01-15 16:25:26,2012-01-11 07:49:34,-4.36,Pothole,3060350.39818,13843523.93747,,,Voice In
11456211-101000511930,"7600 WASHINGTON, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1265780010001,,,,,,492B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 16:32:21,2012-01-15 16:32:21,2012-01-11 08:34:19,-4.33,Pothole,3100819.35,13848101.75,29.78002988,-95.43194142,Voice In
11456212-101000511948,Intersection 2900 FOUNTAIN VIEW DR & 6000 WINSOME LN,,J,MID WEST,,SW,SW,MONDAY,1st Friday,Monday-b,491T,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 16:39:08,2012-01-15 16:39:08,2012-01-11 08:10:30,-4.35,Pothole,3084082.93044,13831709.68649,,,Voice In
11456247-101000512058,"2412 ISABELLA, HOUSTON TX 77004",HARRIS,D,GREATER THIRD WARD,0611480000003,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,493Y,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 17:19:08,2012-01-15 17:19:08,2012-01-20 12:28:55,4.8,Pothole,3120812.94,13830498.2,29.72899597,-95.36864228,Voice In
11456277-101000512112,Intersection 3100 HELENA ST & 200 WESTHEIMER RD,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,493T,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2012-01-05 18:08:26,2012-01-15 18:08:26,2012-01-11 13:35:02,-4.19,Pothole,3116086.62332,13836047.80773,,,Voice In
