,CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
980,12203014-101002867172,"2420 PARK, HOUSTON TX 77019",HARRIS,C,NEARTOWN - MONTROSE,1287620010001,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492V,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 15:27:48,2018-01-04 15:27:48,2018-01-03 22:50:06,-0.69,Pothole-101002867172,3109702.07047,13835639.330860002,29.74407222,-95.40316075,Voice In
1213,12203112-101002867444,Intersection 7900 HAMMERLY BLVD&2100 WIRT RD,,A,SPRING BRANCH EAST,,NW,NE,FRIDAY,4th Thursday,Friday-a,451T,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 19:20:19,2018-01-05 08:00:00,2018-01-03 13:00:05,-1.79,Pothole,,,,,WEB
1272,12203126-101002867507,Intersection 5200 RICHMOND AVE&3400 SAGE RD,,G,GREATER UPTOWN,,,,,,,491Y,Uptown Houston MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-02 21:39:02,2018-01-05 08:00:00,2018-01-03 11:30:05,-1.85,Pothole,,,,,Unknown
1730,12203328-101002867992,Intersection 7800 RICHMOND AVE&3300 STONEY BROOK DR,,F,MID WEST,,,,,,,490Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 11:06:36,2018-01-05 11:06:36,2018-01-04 14:40:05,-0.85,Pothole-101002867992,3077085.91917,13829566.77312,,,Voice In
1783,12203353-101002868053,Intersection 0 W SAM HOUSTON PKWY N&10700 WESTVIEW DR,,A,SPRING BRANCH WEST,,,,,,,449Y,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 11:45:03,2018-01-05 11:45:03,2018-01-04 09:20:05,-1.1,Pothole-101002868053,3058270.75175,13851090.67299,,,Voice In
1832,12203367-101002868115,"7957 HAMMERLY, HOUSTON TX 77055",HARRIS,A,SPRING BRANCH EAST,0812340000001,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,451S,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 12:08:57,2018-01-05 12:08:56,2018-01-04 10:50:05,-1.05,Pothole,,,29.81043426,-95.48913963,WEB
1954,12203419-101002868258,"3611 MANITOU, HOUSTON TX 77013",HARRIS,I,EL DORADO / OATES PRAIRIE,0642070040145,NE,NE,THURSDAY,1st Monday,THURSDAY-A,455Y,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 13:25:57,2018-01-05 13:25:57,2018-01-03 15:20:04,-1.92,Pothole-101002868258,3152911.09921,13855522.10048,29.79499897,-95.2650648,Voice In
2180,101002868505,Intersection 7000 ANTOINE DR&5800 W LITTLE YORK RD,,A,GREATER INWOOD,,,,,,,411Y,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 15:09:43,2018-01-05 15:09:43,2018-01-08 08:55:38,2.74,Pothole-101002868505-101002868505,3086112.59895,13878296.92468,,,Voice In
2473,12203594-101002868848,Intersection 1500 DRISCOLL ST&1944 PEDEN ST,,C,NEARTOWN - MONTROSE,,NW,,MONDAY,,,492R,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 17:51:54,2018-01-08 08:00:00,2018-01-04 13:00:05,-3.79,Pothole,,,,,WEB
2476,12203596-101002868852,Intersection 3500 W DALLAS ST&1000 DUNLAVY ST,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,,492R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 17:54:04,2018-01-08 08:00:00,2018-01-04 12:30:05,-3.81,Pothole,,,,,WEB
2533,12203622-101002868913,Intersection 3400 CLEBURNE ST&3700 TIERWESTER ST,Harris County,D,GREATER THIRD WARD,,,,,,,533D,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-03 19:07:26,2018-01-08 08:00:00,2018-01-04 08:55:04,-3.96,Pothole,,,29.72271169,-95.35715492,WEB
2719,12203672-101002869105,Intersection 500 LOUISIANA ST&700 PRAIRIE ST,,I,DOWNTOWN,,,,,,,493L,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 05:16:27,2018-01-05 14:16:27,2018-01-04 11:20:05,-1.12,Pothole,,,,,WEB
2758,12203682-101002869146,"17225 WESTHEIMER, UNINCORPORATED TX 77082",FORT BEND,,,0451000000607907,,,,,,527E,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 07:22:07,2018-01-05 16:22:07,2018-01-04 12:35:04,-1.16,Pothole,,,29.70946422,-95.68698105,WEB
3087,12203769-101002869491,"1628 VAN BUREN, HOUSTON TX 77006",HARRIS,C,NEARTOWN - MONTROSE,0523690000039,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 10:16:30,2018-01-08 10:16:29,2018-01-04 22:50:09,-3.48,Pothole,,,29.75270576,-95.39386388,WEB
3218,12203807-101002869631,Intersection 700 N KIRKWOOD RD&14000 MEMORIAL DR,,G,MEMORIAL,,,,,,,489E,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 11:09:03,2018-01-08 11:09:03,2018-01-05 09:45:07,-3.06,Pothole-101002869631,3050215.1924,13843739.74215,,,Voice In
3288,12203826-101002869709,"2064 WIRT, HOUSTON TX 77055",HARRIS,A,SPRING BRANCH EAST,0700290030001,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,451T,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 11:44:58,2018-01-08 11:44:58,2018-01-05 09:05:05,-3.11,Pothole,,,29.81027978,-95.48465728,WEB
3363,12203852-101002869792,"5700 GRIGGS, HOUSTON TX 77021",HARRIS,D,GREATER OST / SOUTH UNION,0421760000110,,,,,,534K,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 12:18:51,2018-01-08 12:18:51,2018-01-04 14:20:06,-3.92,Pothole-101002869792,3133489.53045,13818565.25083,29.69510847,-95.32992439,Voice In
3404,12203869-101002869838,"3909 DE LEON, HOUSTON TX 77087",HARRIS,I,GOLFCREST / BELLFORT / REVEILLE,0650960010003,SE,SE,TUESDAY,3rd Wednesday,TUESDAY-A,535P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 12:44:11,2018-01-08 12:44:10,2018-01-04 15:10:04,-3.9,Pothole-101002869838,3148445.80893,13815306.47651,29.68485237,-95.28316519,Voice In
3450,12203883-101002869895,"1142 W 19TH, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0561670000343,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-B,452U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 13:12:01,2018-01-08 13:12:01,2018-01-04 15:10:04,-3.92,Pothole-101002869895,3103756.68965,13856652.93417,29.80233396,-95.41986082,Voice In
3600,12203928-101002870072,Intersection 7900 RICHMOND AVE&7800 SMALL LEAF CIR,Harris County,F,MID WEST,,,,,,,490Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 14:39:06,2018-01-08 14:39:06,2018-01-05 13:15:06,-3.06,Pothole-101002870072,3076711.06789,13829384.90144,29.72962961,-95.50766749,Voice In
3645,12203943-101002870122,"2626 WESTHEIMER, HOUSTON TX 77098",HARRIS,G,AFTON OAKS / RIVER OAKS AREA,0121150000009,,,,,,492U,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 14:59:37,2018-01-08 14:59:37,2018-01-05 09:10:05,-3.24,Pothole,,,29.74259568,-95.41973088,WEB
3880,12204015-101002870419,Intersection 5900 ALMEDA GENOA RD&13000 S WAYSIDE DR,Harris County,D,MINNETEX,,SE,SE,FRIDAY,4th Monday,FRIDAY-B,574Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 16:53:40,2018-01-08 16:53:40,2018-01-05 11:35:12,-3.22,Pothole-101002870419,3138204.96655,13791715.814700002,29.62089925,-95.31774141,Voice In
3921,12204028-101002870464,Intersection 1000 BAY AREA BLVD&16800 EL CAMINO REAL,,E,CLEAR LAKE,,,,,,,618Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 17:26:30,2018-01-09 08:00:00,2018-01-05 13:15:06,-3.78,Pothole-101002870464,3201711.10266,13769717.259619998,,,Voice In
4027,12204061-101002870577,Intersection 6800 GREENBRIAR DR&2300 W HOLCOMBE BLVD,,C,UNIVERSITY PLACE,,,,,,,532G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 19:28:47,2018-01-09 08:00:00,2018-01-05 09:40:05,-3.93,Pothole-101002870577,3107133.60875,13821784.36808,,,Voice In
4028,12204062-101002870578,"3200 DAIRY ASHFORD, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1162400030002,,,,,,488Z,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-04 19:32:51,2018-01-09 08:00:00,2018-01-05 10:25:05,-3.9,Pothole,,,29.72891968,-95.6062691,WEB
4147,12204086-101002870702,"3901 OMEARA, HOUSTON TX 77025",HARRIS,K,WILLOW MEADOWS / WILLOWBEND AREA,1056700000001,,,,,,532S,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 02:07:44,2018-01-08 11:07:44,2018-01-05 10:15:05,-3.04,Pothole,,,29.67207712,-95.43790786,WEB
4152,12204087-101002870708,Intersection 10900 BISSONNET ST&9600 WILCREST DR,,J,ALIEF,,,,,,,529U,International MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 04:21:49,2018-01-08 13:21:49,2018-01-05 11:00:05,-3.1,Pothole,,,,,WEB
4374,12204138-101002870941,"220 EASTWOOD, HOUSTON TX 77011",HARRIS,H,SECOND WARD,0071260000008,SE,SE,MONDAY,1st Friday,MONDAY-A,494T,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 09:05:44,2018-01-09 09:05:44,2018-01-05 14:35:06,-3.77,Pothole-101002870941,3132492.23684,13836989.95349,29.74583818,-95.33124389,Voice In
4443,12204156-101002871012,"803 KIPLING, HOUSTON TX 77006",HARRIS,C,NEARTOWN - MONTROSE,1379550010001,NW,NW,MONDAY,1st Wednesday,MONDAY-A,493S,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 09:29:45,2018-01-09 09:29:45,2018-01-05 13:55:06,-3.82,Pothole,,,29.74027521,-95.38907515,WEB
4596,12204198-101002871176,"3414 GANO, HOUSTON TX 77009",HARRIS,H,NEAR NORTHSIDE,0310350000002,NE,NW,FRIDAY,1st Friday,FRIDAY-B,453Z,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 10:41:25,2018-01-09 10:41:25,2018-01-08 13:40:04,-0.88,Pothole-101002871176,3124495.9441,13853554.551260002,29.79205606,-95.35480405,Voice In
4738,12204238-101002871331,"1626 LIBBEY, HOUSTON TX 77018",HARRIS,C,CENTRAL NORTHWEST,0731000420010,NW,NE,TUESDAY,3rd Thursday,TUESDAY-B,452J,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 11:35:37,2018-01-09 11:35:37,2018-01-08 11:10:04,-1.02,Pothole-101002871331,3096193.71987,13866985.68615,29.83136995,-95.44270577,Voice In
4741,12204238-101002871335,"1626 LIBBEY, HOUSTON TX 77018",HARRIS,C,CENTRAL NORTHWEST,0731000420010,NW,NE,TUESDAY,3rd Thursday,TUESDAY-B,452J,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 11:36:59,2018-01-09 11:36:59,2018-01-05 11:37:21,-4.0,Pothole-101002871335,3096193.71987,13866985.68615,29.83136995,-95.44270577,Voice In
4903,12204288-101002871516,"3000 ELLA LEE, HOUSTON TX 77019",HARRIS,G,AFTON OAKS / RIVER OAKS AREA,0641710000028,,,,,,492U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 13:30:27,2018-01-09 13:28:00,2018-01-08 15:30:04,-0.92,Pothole-101002871516,3104192.96699,13836056.56231,29.74568382,-95.42047323,Voice In
4913,12204291-101002871526,Intersection 13300 BRIAR FOREST DR&1700 ELDRIDGE PKWY,,G,ELDRIDGE / WEST OAKS,,,,,,,488K,HCID #4 (Energy Corridor),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 13:36:02,2018-01-09 13:36:02,2018-01-05 13:39:18,-4.0,Pothole-101002871526,3039141.31166,13837478.16347,,,Voice In
5021,12204365-101002871649,Intersection 6600 GREENBRIAR DR&2300 MCCLENDON ST,Harris County,C,UNIVERSITY PLACE,,SW,SE,TUESDAY,3rd Monday,TUESDAY-B,532G,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 14:30:59,2018-01-09 14:30:59,2018-01-08 14:35:04,-1.0,Pothole-101002871649,3107112.81286,13822381.80357,29.70784945,-95.41259777,Voice In
5261,12204412-101002871949,"4102 SHERWOOD, HOUSTON TX 77092",HARRIS,A,LAZYBROOK / TIMBERGROVE,0661120090019,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,451R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 16:36:11,2018-01-09 16:36:11,2018-01-08 10:15:03,-1.26,Pothole-101002871949,3093603.42583,13860842.29587,29.81470005,-95.45145962,Voice In
5262,12204414-101002871952,Intersection 3700 SHERWOOD LN&2900 W T C JESTER BLVD,,A,LAZYBROOK / TIMBERGROVE,,NW,NE,THURSDAY,4th Tuesday,Thursday-b,452N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 16:37:18,2018-01-09 16:37:18,2018-01-08 10:25:03,-1.26,Pothole-101002871952,3095534.04665,13860690.374259997,,,Voice In
5315,12204427-101002872017,"3111 TUAM, HOUSTON TX 77004",HARRIS,D,GREATER THIRD WARD,0372420000008,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,493Z,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-05 17:13:47,2018-01-10 08:00:00,2018-01-08 14:55:04,-1.71,Pothole,,,29.73326839,-95.35716124,WEB
5575,12204498-101002872305,"3101 CLEBURNE, HOUSTON TX 77004",HARRIS,D,GREATER THIRD WARD,0611680360017,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,493Y,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 07:13:31,2018-01-10 08:00:00,2018-01-11 14:50:06,1.28,Pothole,,,29.72540204,-95.3632918,WEB
5579,12204500-101002872309,Intersection 3500 CLEBURNE ST&3800 SAMPSON ST,,D,GREATER THIRD WARD,,SE,SE,TUESDAY,3rd Friday,,533D,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 07:17:13,2018-01-10 08:00:00,2018-01-08 05:55:03,-2.09,Pothole,,,,,WEB
5696,12204543-101002872439,Intersection 300 CRENSHAW RD&4800 S SHAVER ST,,E,SOUTH BELT / ELLINGTON,,,,,,,576L,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 10:03:08,2018-01-10 08:00:00,2018-01-08 11:05:04,-1.87,Pothole-101002872439,3172471.56403,13799176.18692,,,Voice In
5938,12204633-101002872694,Intersection 9800 E HARDY RD&1500 PRIEST DR,Harris County,B,EASTEX - JENSEN AREA,,NE,NE,MONDAY,2nd Thursday,MONDAY-B,453D,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 14:41:21,2018-01-10 08:00:00,2018-01-08 11:50:04,-1.84,Pothole-101002872694,3122102.11588,13875767.223699998,29.85331533,-95.36016839,Voice In
6018,12204669-101002872778,"6915 CAPITOL, HOUSTON TX 77011",HARRIS,I,MAGNOLIA PARK,0250690000026,,,,,,494Z,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 18:49:30,2018-01-10 08:00:00,2018-01-08 14:20:04,-1.74,Pothole,,,29.73516621,-95.30370036,WEB
6060,12204696-101002872820,Intersection 5800 N COURSE DR&11100 HARWIN DR,,F,ALIEF,,,,,,,529C,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-06 22:50:14,2018-01-10 08:00:00,2018-01-08 11:55:04,-1.84,Pothole,,,,,WEB
6369,12204885-101002873151,"3101 S SHEPHERD, HOUSTON TX 77098",HARRIS,C,NEARTOWN - MONTROSE,0561210000001,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492U,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-07 19:13:35,2018-01-10 08:00:00,2018-01-08 15:20:08,-1.69,Pothole-101002873151,3107481.00077,13833509.48637,29.7384055,-95.41036269,Voice In
6426,12204905-101002873210,Intersection 5700 THOUSAND OAKS CIR&5900 W TIDWELL RD,Harris County,C,GREATER INWOOD,,,,,,,451B,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 06:20:06,2018-01-09 15:20:05,2018-01-09 13:20:04,-0.08,Pothole-101002873210,3084947.19676,13873375.90827,29.8498706,-95.47755426,Voice In
6489,12204928-101002873278,Intersection 6500 MCHARD RD&16800 S POST OAK RD,,,,,,,,,,611F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 08:03:27,2018-01-10 08:03:26,2018-01-09 10:15:03,-0.91,Pothole-101002873278,3089946.34194,13775649.09487,,,Voice In
6584,101002873383,Intersection 7000 ANTOINE DR&5800 W LITTLE YORK RD,,A,GREATER INWOOD,,,,,,,411Y,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 08:53:38,2018-01-10 08:53:00,2018-01-08 08:54:21,-2.0,Pothole,,,,,Voice In
6588,12204961-101002873387,Intersection 7000 ANTOINE DR&5800 W LITTLE YORK RD,,A,GREATER INWOOD,,,,,,,411Y,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 08:54:53,2018-01-10 08:54:00,2018-01-09 13:55:04,-0.79,Pothole-101002873387,3086112.59895,13878296.92468,,,Voice In
6593,12204962-101002873393,"3210 N SHEPHERD, HOUSTON TX 77018",HARRIS,C,CENTRAL NORTHWEST,0660450130015,NW,NE,TUESDAY,3rd Thursday,TUESDAY-B,452R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 08:57:32,2018-01-10 08:57:32,2018-01-09 14:50:04,-0.76,Pothole,,,29.81718595,-95.41005774,WEB
6656,12204990-101002873464,Intersection 1700 CAROLINE ST&1300 PEASE ST,,I,DOWNTOWN,,,,,,,493Q,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-01-08 09:53:07,2018-01-10 09:53:07,2018-01-09 12:50:04,-0.88,Pothole,,,,,WEB
