CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11735618-101001283539,"515 BRINGHURST, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,0090180000001,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-20 17:37:10,2014-02-23 17:37:10,2014-02-24 10:04:59,0.69,Flooding-101001283539,3131402.2295,13844685.009619998,29.76708324,-95.33391716,Voice In
11735730-101001283813,"10 MCCLELLAN, HOUSTON TX 77339",MONTGOMERY,E,KINGWOOD AREA,R46550,NE,NE,TUESDAY,2nd Wednesday,TUESDAY-A,335H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-21 08:10:37,2014-02-24 08:10:37,2014-02-24 08:34:59,0.02,Flooding-101001283813,3151082.22492,13943776.93873,30.03772548,-95.26193576,Voice In
11736183-101001284976,"3744 NAVIGATION, HOUSTON TX 77003",HARRIS,H,SECOND WARD,1294560020001,SE,SE,MONDAY,1st Friday,MONDAY-A,494P,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-21 21:31:01,2014-02-24 21:31:01,2014-02-21 22:49:58,-2.95,Flooding-101001284976,3131925.75306,13839919.97945,29.75394069,-95.33273871,Voice In
11736184-101001284978,"614 S WAYSIDE, HOUSTON TX 77023",HARRIS,I,LAWNDALE / WAYSIDE,0761650000027,,,,,,494Z,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-21 21:36:49,2014-02-24 21:36:49,2014-02-21 22:34:58,-2.96,Flooding-101001284978,3139908.785,13832583.29137,29.73308405,-95.30832163,Voice In
11736185-101001284979,"5232 POLK, HOUSTON TX 77023",HARRIS,I,GREATER EASTWOOD,0651180030002,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494Y,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-21 21:41:23,2014-02-24 21:41:23,2014-02-21 22:34:58,-2.96,Flooding-101001284979,3135677.81675,13832962.05472,29.7344917,-95.32160912,Voice In
11736780-101001286255,Intersection 4200 LOCKWOOD DR & 5400 MARCUS ST,Harris County,B,KASHMERE GARDENS,,NE,NE,FRIDAY,1st Thursday,FRIDAY-B,454Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-24 09:20:11,2014-02-27 09:20:11,2014-02-24 10:20:02,-2.96,Flooding-101001286255,3136421.40057,13856337.29045,29.79867747,-95.31694805,Voice In
11736856-101001286439,"5214 MULFORD, HOUSTON TX 77023",HARRIS,I,GREATER EASTWOOD,0530110000004,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494X,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-24 10:34:35,2014-02-27 10:34:35,2014-02-24 14:49:59,-2.82,Flooding-101001286439,3134932.72211,13830995.55603,29.72915086,-95.32415049,Voice In
11737729-101001288979,Intersection 700 W GULF BANK RD & 0 NORTH FWY,,B,HIDDEN VALLEY,,,,,,,412L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-25 22:15:53,2014-02-28 22:15:53,2014-02-26 00:04:59,-2.92,Flooding-101001288979,3105137.83945,13888245.82932,,,Voice In
11739489-101001289037,Intersection 9700 BELLAIRE BLVD & 6900 CORPORATE DR,,J,SHARPSTOWN,,,,,,,529H,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-26 05:42:07,2014-03-01 05:42:06,2014-03-03 09:19:59,2.15,Flooding-101001289037,3063084.49147,13819953.74904,,,Voice In
11737815-101001289189,"8226 BURMAN, HOUSTON TX 77029",HARRIS,H,DENVER HARBOR / PORT HOUSTON,0292210200007,NE,NE,FRIDAY,1st Tuesday,FRIDAY-B,495K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-26 08:41:45,2014-03-01 08:41:44,2014-02-26 09:19:59,-2.97,Flooding-101001289189,3148182.21267,13844001.871219998,29.76374886,-95.28112164,Voice In
11738036-101001289924,Intersection 3200 S SHEPHERD DR & 2100 SUL ROSS ST,Harris County,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492U,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-26 15:01:17,2014-03-01 15:01:06,2014-02-27 08:04:59,-2.29,Flooding-101001289924,3107387.77589,13833236.61683,29.73766332,-95.4106827,Voice In
11738122-101001290151,"2712 OAKCLIFF, HOUSTON TX 77023",HARRIS,I,GULFGATE RIVERVIEW / PINE VALLEY,0600580000196,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-26 17:55:05,2014-03-01 17:55:05,2014-02-27 04:19:58,-2.57,Flooding-101001290151,3136715.93607,13824692.63261,29.71167195,-95.31915959,Voice In
11738125-101001290156,"7726 PAGEWOOD, HOUSTON TX 77063",HARRIS,F,MID WEST,0893050000029,,,,,,490Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-26 18:15:03,2014-03-01 18:15:03,2014-02-27 03:49:58,-2.6,Flooding-101001290156,3077302.50896,13828446.15233,,,Voice In
11738265-101001290606,Intersection 1680 DUMBLE ST & 4700 JEFFERSON ST,Harris County,I,GREATER EASTWOOD,,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494X,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-27 10:06:30,2014-03-02 10:06:29,2014-02-28 08:34:58,-2.06,Flooding-101001290606,3132880.11959,13832178.67768,29.73258011,-95.33049778,Voice In
11738457-101001291241,Intersection 300 BALDINGER ST & 7100 RUSK ST,Harris County,I,LAWNDALE / WAYSIDE,,SE,SE,MONDAY,1st Thursday,MONDAY-A,494Z,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-27 15:13:17,2014-03-02 15:13:16,2014-02-28 09:04:59,-2.26,Flooding-101001291241,3142668.62429,13832359.51787,29.73222916,-95.29965213,Voice In
11738829-101001292296,Intersection 1700 FOUNTAIN VIEW DR & 5900 SAN FELIPE ST,Harris County,G,GREATER UPTOWN,,,,,,,491N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-02-28 13:46:02,2014-03-03 13:46:02,2014-03-03 08:04:59,-0.24,Flooding-101001292296,3083351.36924,13836950.84267,,,Voice In
11739947-101001295230,Intersection 8200 TARBELL RD & 10600 TOLMAN,Harris County,E,EDGEBROOK AREA,,SE,SW,THURSDAY,2nd Tuesday,THURSDAY-B,576F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 07:26:07,2014-03-07 07:26:07,2014-03-04 10:49:59,-2.86,Flooding-101001295230,3167790.86768,13799728.39579,29.64032944,-95.22385406,Voice In
11739956-101001295254,"7500 BELLERIVE, HOUSTON TX 77036",HARRIS,J,SHARPSTOWN,0930650000012,,,,,,530C,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 07:43:56,2014-03-07 07:43:56,2014-03-04 11:20:00,-2.85,Flooding-101001295254,3073769.47961,13823536.33997,29.71379419,-95.51748056,Voice In
11739976-101001295291,Intersection 5400 BEECHNUT ST & 8500 BRAESMONT DR,,C,MEYERLAND AREA,,SW,SW,TUESDAY,2nd Wednesday,Tuesday-b,531P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 08:09:19,2014-03-07 08:09:18,2014-03-04 11:20:00,-2.87,Flooding-101001295291,3086131.45029,13814924.45792,,,Voice In
11739980-101001295299,Intersection 1100 E 7TH ST & 2800 NORHILL BLVD,Harris County,H,GREATER HEIGHTS,,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-A,493A,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 08:15:26,2014-03-07 08:15:26,2014-03-04 11:20:00,-2.87,Flooding-101001295299,3114711.57095,13850129.24053,29.78347597,-95.38597101,Voice In
11740103-101001295638,"3226 ASHTON PARK, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1131070000006,,,,,,488Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 10:51:37,2014-03-07 10:51:37,2014-03-05 06:04:58,-2.2,Flooding-101001295638,3044854.33501,13827972.52467,29.72832529,-95.60813032,Voice In
11740138-101001295783,"3405 S BRIAR KNOLL, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1116740000034,SW,SW,MONDAY,1st Thursday,MONDAY-A,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 12:07:07,2014-03-07 12:07:07,2014-03-05 06:04:58,-2.25,Flooding-101001295783,3043545.9331,13826554.35723,29.7245312,-95.61238053,Voice In
11740228-101001296062,"5106 SOUTHWIND, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751900410015,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,534S,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 14:30:08,2014-03-07 14:30:07,2014-03-05 16:19:59,-1.92,Flooding-101001296062,3128554.36085,13811667.63077,29.67657378,-95.34614023,Voice In
11740236-101001296112,"12807 MAXFIELD, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1116730000046,SW,SW,MONDAY,1st Thursday,MONDAY-A,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 14:51:06,2014-03-07 14:51:06,2014-03-06 06:04:58,-1.37,Flooding-101001296112,3043336.31968,13826358.87764,29.72401054,-95.61305852,Voice In
11740240-101001296137,"12805 MAXFIELD, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1116730000045,SW,SW,MONDAY,1st Thursday,Monday-B,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 15:01:41,2014-03-07 15:01:41,2014-03-05 07:04:58,-2.33,Flooding-101001296137,3043333.97158,13826404.57899,29.72413635,-95.61306174,Voice In
11740264-101001296237,"2145 W MAIN, HOUSTON TX 77098",HARRIS,C,GREENWAY / UPPER KIRBY AREA,0630760040011,NW,SW,MONDAY,1st Wednesday,MONDAY-A,492U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 15:37:33,2014-03-07 15:37:33,2014-03-05 16:19:59,-1.97,Flooding-101001296237,3106824.34198,13832511.581539998,29.73571793,-95.41252737,Voice In
11740265-101001296238,"881 HOMER, HOUSTON TX 77091",HARRIS,B,ACRES HOME,0610040330007,NW,NE,TUESDAY,4th Tuesday,TUESDAY-B,452C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 15:37:41,2014-03-07 15:37:41,2014-03-05 16:04:59,-1.98,Flooding-101001296238,3102688.87,13875781.1,29.85500073,-95.42138093,Voice In
11740305-101001296352,"12802 VILLAGE GATE, HOUSTON TX 77082",HARRIS,F,ELDRIDGE / WEST OAKS,1116720000040,SW,SW,MONDAY,1st Thursday,MONDAY-A,488Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 16:34:04,2014-03-07 16:34:03,2014-03-05 07:19:59,-2.38,Flooding-101001296352,3043389.84089,13826586.118,29.72463093,-95.61286923,Voice In
11740330-101001296449,Intersection 5400 BEECHNUT ST & 8500 BRAESMONT DR,,C,MEYERLAND AREA,,SW,SW,TUESDAY,2nd Wednesday,Tuesday-b,531P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-04 17:23:32,2014-03-07 17:23:32,2014-03-04 22:34:58,-2.78,Flooding-101001296449,3086131.45029,13814924.45792,,,Voice In
11740522-101001296984,Intersection 0 KATY FWY & 200 YALE ST,,C,WASHINGTON AVENUE COALITION / MEMORIAL P,,,,,,,492H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-05 10:05:22,2014-03-08 10:05:19,2014-03-05 13:19:59,-2.86,Flooding-101001296984,3110761.69171,13847325.337020002,,,Voice In
11741086-101001298406,Intersection 10600 HILLCROFT AVE & 5900 WILLOWBEND BLVD,,K,WESTBURY,,SW,SW,THURSDAY,2nd Thursday,Thursday-a,531W,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-06 11:15:21,2014-03-09 11:15:21,2014-03-06 14:35:00,-2.86,Flooding-101001298406,3082302.17088,13806532.79885,,,Voice In
11741094-101001298431,"8722 STERLINGAME, HOUSTON TX 77031",HARRIS,K,BRAYS OAKS,1090290000045,SW,SW,THURSDAY,2nd Friday,THURSDAY-A,570A,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-06 11:26:05,2014-03-09 11:26:05,2014-03-06 15:49:59,-2.82,Flooding-101001298431,3067974.63523,13800867.11563,29.65195293,-95.53784232,Voice In
11741122-101001298502,Intersection 8700 LINK TERRACE LN & 3800 LINKLEA DR & 3800 LINKWOOD DR,Harris County,K,BRAESWOOD,,SW,SE,THURSDAY,3rd Tuesday,THURSDAY-A,532N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-06 11:58:26,2014-03-09 11:58:26,2014-03-06 14:20:00,-2.9,Flooding-101001298502,3099596.83281,13814584.384780003,29.68704791,-95.43701172,Voice In
11741133-101001298514,"10934 CEDARHURST, HOUSTON TX 77096",HARRIS,K,WESTBURY,0840340000014,SW,SE,THURSDAY,2nd Thursday,THURSDAY-A,531X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-06 12:06:04,2014-03-09 12:06:04,2014-03-06 12:40:59,-2.98,Flooding-101001298514,3088566.47987,13806004.37209,29.66438252,-95.47255142,Voice In
11741496-101001299331,Intersection 5300 CHIMNEY ROCK RD & 5600 WESTPARK DR,,J,GULFTON,,,,,,,491X,Uptown Houston MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-06 23:16:35,2014-03-09 23:16:35,2014-03-07 07:20:00,-2.66,Flooding-101001299331,3086654.30817,13827971.368179997,,,Voice In
11741989-101001300751,Intersection 5600 BURWELL ST & 2318 DELAFIELD ST,Harris County,I,GULFGATE RIVERVIEW / PINE VALLEY,,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-08 03:31:52,2014-03-11 03:31:52,2014-03-08 06:49:59,-2.86,Flooding,,,29.71798712,-95.32173168,Unknown
11742415-101001301582,Intersection 200 W 5TH ST & 500 YALE ST,Harris County,C,GREATER HEIGHTS,,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,492D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-09 12:18:44,2014-03-12 12:18:44,2014-03-11 12:19:59,-1.0,Flooding-101001301582,3110700.47038,13848605.13367,29.77962689,-95.39875801,Voice In
11744088-101001306178,"5738 BAYOU GLEN, HOUSTON TX 77057",HARRIS,G,GREATER UPTOWN,0832640000004,,,,,,491K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-12 14:33:07,2014-03-15 14:33:07,2014-03-13 15:34:59,-1.96,Flooding-101001306178,3085242.97077,13843086.84779,29.7665899,-95.47949746,Voice In
11745322-101001309698,"9002 THEYSEN, HOUSTON TX 77080",HARRIS,A,SPRING BRANCH CENTRAL,0852980000139,NW,NW,FRIDAY,4th Thursday,FRIDAY-A,450L,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-15 15:44:24,2014-03-18 15:44:24,2014-03-17 15:49:59,-1.0,Flooding,,,29.82479441,-95.51482636,WEB
11745335-101001309735,"1005 E 23RD, HOUSTON TX 77009",HARRIS,H,GREATER HEIGHTS,0351030650018,NW,NW,THURSDAY,1st Friday,THURSDAY-A,453S,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-15 17:33:42,2014-03-18 17:33:42,2014-03-15 21:49:58,-2.82,Flooding-101001309735,3114395.63753,13858898.03795,29.80766185,-95.38618441,Voice In
101001310864,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-17 13:06:40,2014-03-20 13:05:00,2014-03-18 08:00:47,-2.21,Flooding,,,Unknown,Unknown,Voice In
101001321015,"11330 SAGECREEK, HOUSTON TX 77089",HARRIS,D,SOUTH BELT / ELLINGTON,0982450000001,SE,SE,THURSDAY,2nd Thursday,THURSDAY-B,616C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-26 08:20:22,2014-03-29 08:20:22,2014-03-31 07:47:02,1.98,Flooding,,,29.59300681,-95.21628088,Voice In
101001321277,"6111 RICHMOND, HOUSTON TX 77057",HARRIS,J,MID WEST,1179300010001,,,,,,491W,Harris County PID#2,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-26 10:33:22,2014-03-29 10:33:22,2014-03-26 10:42:39,-2.99,Flooding,,,29.73116192,-95.4882357,Voice In
11749787-101001322100,"5407 BURKETT, HOUSTON TX 77004",HARRIS,D,MACGREGOR,0700830060001,SE,SW,TUESDAY,3rd Friday,TUESDAY-A,533G,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-03-26 19:11:53,2014-03-29 19:11:53,2014-03-26 21:49:57,-2.89,Flooding-101001322100,3122089.14741,13824330.956819998,29.71193567,-95.36525154,Voice In
11751433-101001327310,"7706 BELBAY, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0824540000019,SE,,FRIDAY,4th Wednesday,,534X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-01 07:53:23,2014-04-04 07:53:23,2014-04-02 08:04:57,-1.99,Flooding,,,29.6688868,-95.32418622,WEB
11753333-101001333085,"7312 ARDENNES, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751890050002,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,533V,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-06 18:16:43,2014-04-09 18:16:43,2014-04-06 19:19:56,-2.96,Flooding-101001333085,3126739.45832,13813392.59812,29.68147104,-95.35168354,Voice In
11753424-101001333340,Intersection 4700 AFTONSHIRE DR & 3100 VOSSDALE RD,Harris County,G,AFTON OAKS / RIVER OAKS AREA,,,,,,,491V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-07 09:22:02,2014-04-10 09:22:01,2014-04-07 12:19:57,-2.88,Flooding-101001333340,3092408.87048,13832295.06721,29.73633095,-95.45795099,Voice In
11753832-101001334663,Intersection 3000 N DURHAM DR & 3200 N SHEPHERD DR,,C,CENTRAL NORTHWEST,,NW,NE,TUESDAY,3rd Thursday,Tuesday-a,452R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-08 02:21:23,2014-04-11 02:19:00,2014-04-08 07:19:57,-2.79,Flooding-101001334663,3106612.83059,13861553.42339,,,Voice In
11756045-101001341365,"3718 TROUT, HOUSTON TX 77093",HARRIS,H,EASTEX - JENSEN AREA,0720220220527,NE,NW,TUESDAY,2nd Thursday,TUESDAY-A,454B,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-14 09:20:11,2014-04-17 09:20:11,2014-04-14 09:34:57,-2.99,Flooding-101001341365,3131367.72137,13876290.365699997,29.85395717,-95.330901,Voice In
11756302-101001342241,"4102 CAROLINE, HOUSTON TX 77004",HARRIS,D,MIDTOWN,0220510000003,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493X,Midtown MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-14 16:06:47,2014-04-17 16:06:47,2014-04-14 23:04:57,-2.71,Flooding,,,29.73443141,-95.37936262,Unknown
11756364-101001342538,Intersection 1800 COLQUITT ST & 4200 WOODHEAD ST,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,492Z,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-14 18:57:55,2014-04-17 18:57:55,2014-04-15 03:34:56,-2.64,Flooding-101001342538,3109385.45595,13832394.51616,,,Voice In
11756399-101001342602,"1919 EDWARDS, HOUSTON TX 77007",HARRIS,H,WASHINGTON AVENUE COALITION / MEMORIAL P,0051340000001,,,,,,493F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-14 20:47:09,2014-04-17 20:47:09,2014-04-15 03:34:56,-2.72,Flooding-101001342602,3117490.14545,13845450.826,29.77038015,-95.37767244,Voice In
101001345368,"611 WALKER, HOUSTON TX 77002",HARRIS,I,DOWNTOWN,0010890000001,,,,,,493L,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-17 08:26:29,2014-04-20 08:23:00,2014-04-17 08:27:13,-3.0,Flooding,,,29.75989828,-95.36705705,Voice In
11757313-101001345375,"611 WALKER, HOUSTON TX 77002",HARRIS,I,DOWNTOWN,0010890000001,,,,,,493L,Houston Downtown,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2014-04-17 08:28:31,2014-04-20 08:27:00,2014-04-17 10:19:57,-2.92,Flooding-101001345375,3120974.61486,13841745.52272,29.75989828,-95.36705705,e-mail In
